Arch,SA_avg,SA_Tn,SDR,Hazard Level
S8H14SEAWBPG2,0.03083717,0.05050664,0.001691067,100
S8H14SEAWBPG2,0.024941586,0.05050664,0.0029085,100
S8H14SEAWBPG2,0.034590952,0.05050664,0.004522833,100
S8H14SEAWBPG2,0.010905421,0.05050664,0.002263917,100
S8H14SEAWBPG2,0.015452512,0.05050664,0.002034667,100
S8H14SEAWBPG2,0.033527036,0.05050664,0.002923333,100
S8H14SEAWBPG2,0.033699021,0.05050664,0.003400167,100
S8H14SEAWBPG2,0.027898681,0.05050664,0.003348083,100
S8H14SEAWBPG2,0.025282797,0.05050664,0.00447375,100
S8H14SEAWBPG2,0.036132373,0.05050664,0.001732,100
S8H14SEAWBPG2,0.036003642,0.05050664,0.002805,100
S8H14SEAWBPG2,0.01829898,0.05050664,0.001655333,100
S8H14SEAWBPG2,0.023158744,0.05050664,0.003485583,100
S8H14SEAWBPG2,0.036211063,0.05050664,0.001445333,100
S8H14SEAWBPG2,0.044696893,0.05050664,0.003488333,100
S8H14SEAWBPG2,0.028096388,0.05050664,0.003904583,100
S8H14SEAWBPG2,0.01807514,0.05050664,0.0023155,100
S8H14SEAWBPG2,0.025408668,0.05050664,0.003858333,100
S8H14SEAWBPG2,0.013640985,0.05050664,0.002538083,100
S8H14SEAWBPG2,0.024979651,0.05050664,0.00154975,100
S8H14SEAWBPG2,0.0236736,0.05050664,0.001497083,100
S8H14SEAWBPG2,0.018252663,0.05050664,0.003925667,100
S8H14SEAWBPG2,0.033963097,0.05050664,0.003506167,100
S8H14SEAWBPG2,0.028078466,0.05050664,0.0032815,100
S8H14SEAWBPG2,0.034342228,0.05050664,0.001732667,100
S8H14SEAWBPG2,0.027189681,0.05050664,0.00319675,100
S8H14SEAWBPG2,0.032921324,0.05050664,0.003663583,100
S8H14SEAWBPG2,0.027191135,0.05050664,0.002914083,100
S8H14SEAWBPG2,0.029588653,0.05050664,0.005304917,100
S8H14SEAWBPG2,0.034284875,0.05050664,0.002213917,100
S8H14SEAWBPG2,0.024072734,0.05050664,0.002459083,100
S8H14SEAWBPG2,0.013302742,0.05050664,0.002483417,100
S8H14SEAWBPG2,0.025126032,0.05050664,0.003276917,100
S8H14SEAWBPG2,0.028234166,0.05050664,0.001660767,100
S8H14SEAWBPG2,0.024604952,0.05050664,0.004258833,100
S8H14SEAWBPG2,0.015732287,0.05050664,0.00238775,100
S8H14SEAWBPG2,0.015541843,0.05050664,0.0021035,100
S8H14SEAWBPG2,0.02111919,0.05050664,0.00228325,100
S8H14SEAWBPG2,0.027690038,0.05050664,0.003536167,100
S8H14SEAWBPG2,0.022947853,0.05050664,0.002974833,100
S8H14SEAWBPG2,0.031986406,0.05050664,0.001966583,100
S8H14SEAWBPG2,0.028601029,0.05050664,0.001470833,100
S8H14SEAWBPG2,0.019255374,0.05050664,0.002089167,100
S8H14SEAWBPG2,0.046691526,0.05050664,0.002785167,100
S8H14SEAWBPG2,0.018582139,0.05050664,0.0019625,100
S8H14SEAWBPG2,0.014132825,0.05050664,0.001875583,100
S8H14SEAWBPG2,0.027850652,0.05050664,0.00321225,100
S8H14SEAWBPG2,0.018267082,0.05050664,0.002502917,100
S8H14SEAWBPG2,0.036691926,0.05050664,0.0033425,100
S8H14SEAWBPG2,0.02313633,0.05050664,0.002609167,100
S8H14SEAWBPG2,0.0302517,0.05050664,0.002940167,100
S8H14SEAWBPG2,0.040139398,0.05050664,0.003744333,100
S8H14SEAWBPG2,0.027836159,0.05050664,0.001804083,100
S8H14SEAWBPG2,0.021916251,0.05050664,0.002560167,100
S8H14SEAWBPG2,0.025027986,0.05050664,0.002490333,100
S8H14SEAWBPG2,0.020531734,0.05050664,0.003179,100
S8H14SEAWBPG2,0.029683949,0.05050664,0.0012197,100
S8H14SEAWBPG2,0.024943719,0.05050664,0.002905,100
S8H14SEAWBPG2,0.025465733,0.05050664,0.003302917,100
S8H14SEAWBPG2,0.028610152,0.05050664,0.002277833,100
S8H14SEAWBPG2,0.023164046,0.05050664,0.0032175,100
S8H14SEAWBPG2,0.025096635,0.05050664,0.002363667,100
S8H14SEAWBPG2,0.032894606,0.05050664,0.001404775,100
S8H14SEAWBPG2,0.024031235,0.05050664,0.003053833,100
S8H14SEAWBPG2,0.024835547,0.05050664,0.002466167,100
S8H14SEAWBPG2,0.020653009,0.05050664,0.00124245,100
S8H14SEAWBPG2,0.028140515,0.05050664,0.002777083,100
S8H14SEAWBPG2,0.038575751,0.05050664,0.0029255,100
S8H14SEAWBPG2,0.018633534,0.05050664,0.003030333,100
S8H14SEAWBPG2,0.027213471,0.05050664,0.002805167,100
S8H14SEAWBPG2,0.031169906,0.05050664,0.001676083,100
S8H14SEAWBPG2,0.030873176,0.05050664,0.004405333,100
S8H14SEAWBPG2,0.045271795,0.05050664,0.00223425,100
S8H14SEAWBPG2,0.037973933,0.05050664,0.003672417,100
S8H14SEAWBPG2,0.01805273,0.05050664,0.003502167,100
S8H14SEAWBPG2,0.023456577,0.05050664,0.001547,100
S8H14SEAWBPG2,0.016677611,0.05050664,0.00266575,100
S8H14SEAWBPG2,0.039774552,0.05050664,0.00399175,100
S8H14SEAWBPG2,0.025503557,0.05050664,0.00216725,100
S8H14SEAWBPG2,0.025921806,0.05050664,0.004027167,100
S8H14SEAWBPG2,0.016414315,0.05050664,0.001793575,100
S8H14SEAWBPG2,0.022418095,0.05050664,0.001622083,100
S8H14SEAWBPG2,0.018797477,0.05050664,0.002386833,100
S8H14SEAWBPG2,0.037792881,0.05050664,0.002901083,100
S8H14SEAWBPG2,0.026844286,0.05050664,0.003008667,100
S8H14SEAWBPG2,0.015957948,0.05050664,0.001838,100
S8H14SEAWBPG2,0.031128018,0.05050664,0.004613333,100
S8H14SEAWBPG2,0.046250753,0.05050664,0.002871667,100
S8H14SEAWBPG2,0.033646322,0.05050664,0.001509667,100
S8H14SEAWBPG2,0.029546239,0.05050664,0.001836583,100
S8H14SEAWBPG2,0.030393535,0.05050664,0.001887417,100
S8H14SEAWBPG2,0.017691595,0.05050664,0.00229325,100
S8H14SEAWBPG2,0.033503703,0.05050664,0.002713167,100
S8H14SEAWBPG2,0.028940789,0.05050664,0.002146917,100
S8H14SEAWBPG2,0.018465158,0.05050664,0.003288917,100
S8H14SEAWBPG2,0.014314663,0.05050664,0.002028417,100
S8H14SEAWBPG2,0.016828709,0.05050664,0.002000667,100
S8H14SEAWBPG2,0.028416021,0.05050664,0.003675833,100
S8H14SEAWBPG2,0.024847962,0.05050664,0.001734417,100
S8H14SEAWBPG2,0.010041884,0.05050664,0.001018267,100
S8H14SEAWBPG2,0.035072716,0.149946347,0.004854417,475
S8H14SEAWBPG2,0.09765896,0.149946347,0.004284417,475
S8H14SEAWBPG2,0.068453671,0.149946347,0.0092975,475
S8H14SEAWBPG2,0.08938239,0.149946347,0.01139875,475
S8H14SEAWBPG2,0.042498004,0.149946347,0.005609,475
S8H14SEAWBPG2,0.092414236,0.149946347,0.013243417,475
S8H14SEAWBPG2,0.039493768,0.149946347,0.0080405,475
S8H14SEAWBPG2,0.032376497,0.149946347,0.0073615,475
S8H14SEAWBPG2,0.092538595,0.149946347,0.00850625,475
